POSITION,PLACE,MOISTURE_METER,DATE,TIME,PROCESS_ORDER,PRODUCT_CODE,ISS_VERSION,IPSM_VERSION,CALIBRATION_FOR,MOISTURE_MEAN,TIN_NUMBER_1,TIN_NUMBER_2,PSS4MMSID
020,T0874,08.990+020-EM1 ,11.07.2022,15:10:35,102545382 ,ZJ0I3 , , ,ZJ0I3 ,9.90755 ,568 ,352 ,816062602 
020,T0874,08.990+020-EM1 ,11.07.2022,15:18:27,102545382 ,ZJ0I3 , , ,ZJ0I3 ,9.95193 ,953 ,896 ,816062603 
020,T0874,08.990+020-EM1 ,11.07.2022,15:36:36,102545382 ,ZJ0I3 , , ,ZJ0I3 ,10.0581 ,345 ,486 ,816062604 
020,T0874,08.990+020-EM1 ,11.07.2022,15:40:18,102545382 ,ZJ0I3 , , ,ZJ0I3 ,9.90591 ,954 ,778 ,816062605 
020,T0874,08.990+020-EM1 ,11.07.2022,12:46:09,102548936 ,V0K1Q , , ,V0K1Q ,14.3937 ,488 ,651 ,816062598 
020,T0874,08.990+020-EM1 ,11.07.2022,12:47:11,102548936 ,V0K1Q , , ,V0K1Q ,14.3186 ,445 ,691 ,816062599 
020,T0874,08.990+020-EM1 ,11.07.2022,12:48:10,102548936 ,V0K1Q , , ,V0K1Q ,14.3264 ,194 ,6528 ,816062600 
020,T0874,08.990+020-EM1 ,11.07.2022,12:49:05,102548936 ,V0K1Q , , ,V0K1Q ,14.4527 ,625 ,787 ,816062601 
020,T0874,08.990+020-EM1 ,11.07.2022,10:47:17,102549708 ,V0DBB , , ,V0DBB ,14.4851 ,371 ,238 ,816062593 
020,T0874,08.990+020-EM1 ,11.07.2022,10:48:32,102549708 ,V0DBB , , ,V0DBB ,14.3228 ,813 ,2222 ,816062594 
020,T0874,08.990+020-EM1 ,11.07.2022,10:49:09,102549708 ,V0DBB , , ,V0DBB ,14.241 ,397 ,966 ,816062595 
020,T0874,08.990+020-EM1 ,11.07.2022,10:50:02,102549708 ,V0DBB , , ,V0DBB ,14.3219 ,332 ,255 ,816062596 
020,T0874,08.990+020-EM1 ,11.07.2022,10:51:02,102549708 ,V0DBB , , ,V0DBB ,14.6138 ,242 ,2473 ,816062597 
